Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACDcolumn,MACD_Signal,MACD_Histogram
2023-03-16,518.400024,529.349976,514.299988,524.5,514.501953,20040008,41.35821234941056,-5.7820321196544455,-0.5775869719796249,-5.204445147674821
2023-03-17,528.650024,531.599976,520.099976,529.799988,519.700867,18787379,44.34245013401364,-5.793135997324043,-0.47095267971937815,-5.322183317604665
2023-03-20,526.599976,526.599976,515.0,519.200012,509.302979,14275315,39.96227834870072,-6.581399103790886,-1.0073726289489766,-5.57402647484191
2023-03-21,522.0,523.450012,516.450012,521.849976,511.902405,29485180,41.517586749583984,-6.912589319925473,-1.0708502760668503,-5.841739043858623
2023-03-22,522.200012,527.0,520.099976,521.549988,511.608154,11619538,41.38687832596318,-7.117223553991721,-1.0203876081064776,-6.0968359458852435
2023-03-23,519.400024,521.0,511.5,512.75,502.975922,22097792,37.64302463835463,-7.898434904852934,-1.4412791671741516,-6.457155737678782
2023-03-24,514.5,514.950012,503.450012,505.350006,495.71698,14416984,34.79279721378511,-9.010797337523627,-2.042913279875876,-6.967884057647751
2023-03-27,507.0,514.150024,501.549988,510.149994,500.425476,15674218,38.06846832748626,-9.39671419118281,-1.9430641068280456,-7.453650084354764
2023-03-28,511.450012,511.75,503.850006,508.100006,498.414551,15833599,37.208770381101274,-9.755517444719885,-1.8414938882920975,-7.914023556427788
2023-03-29,509.0,518.0,506.299988,516.5,506.654419,24203789,42.89908040642709,-9.255372125471467,-1.073078855234943,-8.182293270236524
2023-03-31,520.650024,524.900024,519.349976,523.75,513.766235,17356345,47.33517973054748,-8.179698475057762,0.0020758361430104344,-8.181774311200773
2023-04-03,524.75,528.5,522.099976,526.75,516.709045,14210949,49.097422997869664,-7.004402042681818,0.9418978148151647,-7.9462998574969825
2023-04-05,527.0,527.599976,519.049988,523.0,513.030518,13574801,46.98118775718889,-6.302908803154423,1.314712843474048,-7.617621646628471
2023-04-06,524.0,533.700012,521.650024,527.650024,517.591919,25125879,49.86680822525154,-5.31053573169379,1.8456687319477458,-7.156204463641536
2023-04-10,529.25,530.400024,524.400024,526.299988,516.267578,17335453,49.03242148147974,-4.580211715800829,2.060794198272566,-6.641005914073395
2023-04-11,530.849976,535.700012,527.150024,532.099976,521.957031,26414406,52.69454882342383,-3.4931472849353895,2.518286903310404,-6.011434188245794
2023-04-12,533.200012,534.0,526.0,528.200012,518.131409,21292441,50.08842524443891,-2.9127589213236433,2.4789402135377205,-5.391699134861364
2023-04-13,529.299988,534.25,527.150024,532.950012,522.790894,28597560,53.12897070294243,-2.045927480643968,2.6766173233739172,-4.722544804017885
2023-04-17,528.0,545.0,528.0,544.0,533.630188,32476990,59.335124769063924,-0.461990101414699,3.408443762082549,-3.870433863497248
2023-04-18,545.349976,548.5,540.5,545.849976,535.444946,22283456,60.283282053078686,0.9318277552625887,3.8418092950078697,-2.909981539745281
2023-04-19,544.0,547.5,538.25,540.299988,530.000732,21156372,56.06022985961664,1.5704970873572393,3.5843829016820163,-2.013885814324777
2023-04-20,541.200012,545.450012,536.650024,544.799988,534.414978,25588577,58.59306980750671,2.4119559989713935,3.5406734506369366,-1.1287174516655432
2023-04-21,545.0,546.400024,539.700012,543.150024,532.796448,22599418,57.28909686278591,2.9121109411310044,3.232662714237238,-0.3205517731062336
2023-04-24,543.799988,555.549988,543.5,554.599976,544.028137,23335611,63.3796736092258,4.184170261157647,3.603777627411104,0.5803926337465425
2023-04-25,555.0,567.900024,555.0,561.799988,551.090881,38142390,66.60460505301488,5.707475013188173,4.101665903553304,1.6058091096348688
2023-04-26,562.0,567.0,556.450012,566.349976,555.554138,23143882,68.49289421904334,7.198866952662911,4.474446274422434,2.7244206782404774
2023-04-27,565.0,567.400024,561.099976,564.75,553.98468,17845169,67.05702754383553,8.15766463797604,4.3465951677884505,3.81106947018759
2023-04-28,567.799988,580.450012,565.5,578.299988,567.276367,16183423,72.34462388269476,9.896805290139014,4.868588655961139,5.028216634177875
2023-05-02,580.0,580.849976,573.150024,575.299988,564.333557,13667511,69.6780209964266,10.907279529980201,4.70325031664186,6.204029213338341
2023-05-03,570.650024,575.0,569.0,570.5,559.625061,9699527,65.51691209155926,11.191757119257773,3.990182324735545,7.2015747945222275
2023-05-04,570.200012,580.799988,568.5,580.0,568.94397,12533761,69.41053026785978,12.044931787560586,3.8746855944306873,8.170246193129898
2023-05-05,580.200012,588.25,575.049988,576.5,565.510681,18163461,66.43428577978251,12.29690702013329,3.3013286616027138,8.995578358530576
2023-05-08,577.650024,587.599976,577.349976,583.599976,572.475342,12990869,69.3092004819793,12.92056767220447,3.1399914509391156,9.780576221265354
2023-05-09,585.0,586.450012,572.099976,573.5,562.567871,18959065,61.269799757482524,12.456251662605382,2.140540353072023,10.31571130953336
2023-05-10,575.0,575.0,563.25,572.200012,561.292664,18561315,60.30028189497192,11.846816980867061,1.224884537066961,10.6219324438001
2023-05-11,572.200012,580.0,572.0,573.450012,562.51886,16016715,60.940301958442895,11.334048304509565,0.5696926885675726,10.764355615941993
2023-05-12,574.700012,580.75,571.549988,578.150024,567.129272,11319335,63.333865338436745,11.178073252611057,0.3309741093352496,10.847099143275807
2023-05-15,578.75,584.0,574.650024,581.900024,570.8078,11410243,65.16792067648751,11.227630425595294,0.30442502585558984,10.923205399739704
2023-05-16,584.0,590.400024,582.0,586.299988,575.123901,22178229,67.23859753498182,11.489501345447934,0.4530367565665845,11.03646458888135
2023-05-17,586.0,590.5,579.5,586.299988,575.123901,23739774,67.23859753498182,11.563736381281728,0.42181743392030313,11.141918947361425
2023-05-18,590.299988,593.900024,571.400024,574.200012,563.254578,45656620,56.52203564754472,10.524877011849185,-0.4936335484097931,11.018510560258978
2023-05-19,579.0,586.25,569.900024,575.150024,564.186462,42293962,57.100160662434746,9.66679866814161,-1.081369513693895,10.748168181835505
2023-05-22,577.5,580.299988,573.450012,577.150024,566.148315,21484049,58.35559726061108,9.04389627728085,-1.3634175236437223,10.407313800924573
2023-05-23,578.900024,583.700012,576.799988,581.599976,570.513428,16120548,61.08440423784567,8.807784919457845,-1.2796231051733837,10.087408024631229
2023-05-24,579.799988,585.25,578.25,582.700012,571.592529,17616658,61.751618765073324,8.61017593062843,-1.1817856752022387,9.791961605830668
2023-05-25,582.0,582.900024,577.0,581.25,570.170166,16479436,60.28439583878502,8.241561937321876,-1.2403197348070343,9.48188167212891
