Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,MACD_Signal,MACD_Histogram
2023-02-24,1410.0,1427.0,1261.599976,1315.650024,1314.335327,8736727,23.162527736710253,-449.66895232824277,7.036455603102354,-456.7054079313451
2023-02-27,1300.0,1313.800049,1131.050049,1193.5,1192.307251,10271008,21.454723920728856,-453.6632799811707,2.4337023601395344,-456.09698234131025
2023-02-28,1145.0,1398.0,1103.75,1363.849976,1362.487061,33948366,29.285319813583737,-438.03361518524594,14.450693724851476,-452.4843089100974
2023-03-01,1424.0,1580.0,1411.0,1564.300049,1562.736816,20114340,37.21700707736171,-404.80599602963275,38.142650304371784,-442.94864633400454
2023-03-02,1499.900024,1646.0,1407.900024,1607.25,1605.643799,26970925,38.80095814413846,-370.7335804173474,57.77205273332572,-428.50563315067313
2023-03-03,1688.849976,1905.949951,1685.5,1879.5,1877.621704,22888891,47.79229462283218,-318.09583507533057,88.32783846027411,-406.4236735356047
2023-03-06,1966.699951,2135.0,1855.0,1982.900024,1980.918457,27180456,50.75172472998485,-264.9819775785902,113.15335676561165,-378.13533434420185
2023-03-08,2040.0,2088.0,1941.0,2039.650024,2037.611694,13568243,52.348272940450805,-215.8217532996216,129.8508648356642,-345.6726181352858
2023-03-09,2049.800049,2068.850098,1905.349976,1953.150024,1951.198242,12627794,49.703358243650314,-181.74668580698653,131.14074586263945,-312.887431669626
2023-03-10,1870.0,1940.0,1820.599976,1896.199951,1894.305054,9419942,47.984373578932605,-157.52153406994216,124.29271807974709,-281.81425214968925
2023-03-13,1917.0,1985.0,1857.400024,1874.400024,1872.526855,7572604,47.3098712203812,-138.4856226512327,114.66290359876524,-253.14852624999793
2023-03-14,1874.0,1874.849976,1651.349976,1738.199951,1736.462891,12679663,43.222014785642955,-132.85822639268576,96.23223988584974,-229.0904662785355
2023-03-15,1760.900024,1891.449951,1728.099976,1839.0,1837.162231,12296703,46.880221250021584,-118.8942142882097,88.15700159226066,-207.05121588047035
2023-03-16,1861.0,1875.0,1795.0,1843.800049,1841.95752,6509495,47.05515818033123,-106.21591925150369,80.66823730317333,-186.88415655467702
2023-03-17,1901.0,1918.849976,1845.0,1876.550049,1874.674805,5969594,48.3060374208438,-92.45980867571984,75.53947830316577,-167.9992869788856
2023-03-20,1837.0,1849.949951,1777.400024,1804.949951,1803.14624,5168139,45.76055551819442,-86.34024486078124,65.32723369448348,-151.66747855526472
2023-03-21,1836.949951,1861.0,1804.949951,1824.25,1822.427002,4094018,46.57774041575608,-79.02217534354122,58.11624256937881,-137.13841791292003
2023-03-22,1834.0,1850.0,1806.150024,1815.400024,1813.585815,3248124,46.2337608169892,-73.0940884756917,51.23546354978268,-124.32955202547438
2023-03-23,1794.0,1834.0,1780.0,1794.0,1792.207275,4108804,45.361397202427746,-69.32371932879323,44.00466615734493,-113.32838548613816
2023-03-24,1796.0,1823.0,1695.25,1740.650024,1738.910522,6187968,43.17429907693901,-69.83555105325968,34.79426754630279,-104.62981859956247
2023-03-27,1740.650024,1757.400024,1682.0,1723.050049,1721.328247,5053055,42.4472003201384,-70.84469868863061,27.028095928745486,-97.8727946173761
2023-03-28,1727.949951,1733.0,1573.0,1600.849976,1599.250122,8144878,37.69984470116966,-80.57614840080305,13.837316973258453,-94.4134653740615
2023-03-29,1602.949951,1756.0,1591.099976,1740.400024,1738.660767,9332702,45.23281632266748,-76.15005932172676,14.610724841867807,-90.76078416359456
2023-03-31,1788.0,1825.0,1740.0,1750.449951,1748.700684,4893249,45.741633213093614,-71.01281519057875,15.798375178412655,-86.8111903689914
2023-04-03,1750.449951,1754.949951,1695.5,1717.449951,1715.733643,3445796,44.28667700541706,-68.81112460132522,14.400052614132946,-83.21117721545816
2023-04-05,1717.449951,1737.949951,1671.550049,1698.0,1696.303101,3690559,43.41024199721926,-67.85354402454436,12.286106552731042,-80.1396505772754
2023-04-06,1705.0,1793.650024,1688.150024,1754.050049,1752.297241,6012473,46.68470868677856,-61.85881409088938,14.624669189108829,-76.48348327999821
